Id,Thứ,Ngày,Thứ tự công ty,Mã khách hàng,Site ăn,Bếp thực hiện,Suất ăn phục vụ,Ca,Số lượng khách hàng dự kiến,Số lượng chốt ngày liền trước,Số lượng máy tính dự kiến,Số lượng được phê duyệt,Tổng số lượng phần ăn để đặt hàng,Ghi chú,Chị Nga duyệt,Trạng thái duyệt,Load dữ liệu,Tạo BOM,Load dữ liệu số lượng đặt ngày trước đó,Món mặn 1 Tên,Món mặn 1 tên - vị trí,Món mặn 1 SL,Món mặn 2 Tên,Món mặn 2 tên - vị trí,Món mặn 2 SL,Món mặn 3 Tên,Món mặn 3 tên - vị trí,Món mặn 3 SL,Món mặn 4 Tên,Món mặn 4 tên - vị trí,Món mặn 4 SL,Món mặn 5 Tên,Món mặn 5 tên - vị trí,Món mặn 5 SL,Món mặn 6 Tên,Món mặn 6 tên - vị trí,Món mặn 6 SL,Món chay 1 Tên,Món chay 1 tên - vị trí,Món chay 1 SL,Món chay 2 Tên,Món chay 2 tên - vị trí,Món chay 2 SL,Món chay 3 Tên,Món chay 3 tên - vị trí,Món chay 3 SL,Món nước 1 Tên,Món nước 1 tên - vị trí,Món nước 1 SL,Món nước 2 Tên,Món nước 2 tên - vị trí Copy,Món nước 2 SL,Món canh 1 Tên,Món canh 1 tên - vị trí,Món canh 1 SL,Món xào/luộc 1 Tên,Món xào/luộc 1 tên - vị trí,Món xào/luộc 1 SL,Món xào/luộc 2 Tên,Món xào/luộc 2 tên - vị trí,Món xào luộc 2 SL,Món tráng miệng 1 Tên,Món tráng miệng 1 tên - vị trí,Món tráng miệng 1 SL,Món mì sữa 1 Tên,Món mì sữa 1 SL,Món cháo Tên,Món cháo SL
3672,Thứ 5,30/04/2026,5,SAITEX D13,SAI01,Bếp trung tâm,Suất mặn,Ca 2,,0,,,0,,Chị Nga duyệt,Chưa duyệt,Load dữ liệu,Tạo BOM,Load dữ liệu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815,Thứ 2,27/04/2026,6,SAITEX 6,SAI06,Bếp trung tâm,Suất mặn,Ca 1,,,,,,,Chị Nga duyệt,Chưa duyệt,Load dữ liệu,Tạo BOM,Load dữ liệu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816,Thứ 2,27/04/2026,6,SAITEX 6,SAI06,Bếp trung tâm,Suất nước,Ca 1,,,,,,,Chị Nga duyệt,Chưa duyệt,Load dữ liệu,Tạo BOM,Load dữ liệu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885,Thứ 3,28/04/2026,6,SAITEX 6,SAI06,Bếp trung tâm,Suất mặn,Ca 1,,,,,,,Chị Nga duyệt,Chưa duyệt,Load dữ liệu,Tạo BOM,Load dữ liệu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886,Thứ 3,28/04/2026,6,SAITEX 6,SAI06,Bếp trung tâm,Suất nước,Ca 1,,,,,,,Chị Nga duyệt,Chưa duyệt,Load dữ liệu,Tạo BOM,Load dữ liệu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3336,Thứ 3,28/04/2026,6,SAITEX 6,SAI06,Bếp trung tâm,Suất mặn,Ca 1,,0,,,0,,Chị Nga duyệt,Chưa duyệt,Load dữ liệu,Tạo BOM,Load dữ liệu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3337,Thứ 3,28/04/2026,6,SAITEX 6,SAI06,Bếp trung tâm,Suất nước,Ca 1,,0,,,0,,Chị Nga duyệt,Chưa duyệt,Load dữ liệu,Tạo BOM,Load dữ liệu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2941,Thứ 4,29/04/2026,6,SAITEX 6,,,Suất mặn,Ca 1,,,,,,,Chị Nga duyệt,Chưa duyệt,Load dữ liệu,Tạo BOM,Load dữ liệu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2942,Thứ 4,29/04/2026,6,SAITEX 6,,,Suất nước,Ca 1,,,,,,,Chị Nga duyệt,Chưa duyệt,Load dữ liệu,Tạo BOM,Load dữ liệu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732,Thứ 5,30/04/2026,5,SAITEX D13,SAI02,Bếp trung tâm,Suất mặn,Ca 1,,,,,,,Chị Nga duyệt,Chưa duyệt,Load dữ liệu,Tạo BOM,Load dữ liệu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
