ID,Mã món ăn,Mã nhóm món ăn,Tên món ăn,Nhóm món ăn
762,MONMAN_VIT_HAM_001,MONMAN_VIT_HAM,Vịt hầm tiêu xanh,MÓN MẶN
763,MONMAN_VIT_KHO_001,MONMAN_VIT_KHO,Vịt kho chao,MÓN MẶN
764,MONMAN_VIT_KHO_002,MONMAN_VIT_KHO,Vịt kho gừng,MÓN MẶN
765,MONMAN_VIT_KHO_003,MONMAN_VIT_KHO,Vịt kho măng,MÓN MẶN
766,MONMAN_VIT_KHO_004,MONMAN_VIT_KHO,Vịt kho sả,MÓN MẶN
767,MONMAN_VIT_KHO_005,MONMAN_VIT_KHO,Vịt kho thơm,MÓN MẶN
768,MONNUOC_BANHCANH_001,MONNUOC_BANHCANH,Bánh canh giò nấm,MÓN NƯỚC
769,MONNUOC_BANHCANH_002,MONNUOC_BANHCANH,Bánh canh cá lóc (bánh canh bột xắt-rau đắng),MÓN NƯỚC
770,MONNUOC_BANHCANH_003,MONNUOC_BANHCANH,Bánh canh bột xắt,MÓN NƯỚC
771,MONNUOC_BANHCANH_004,MONNUOC_BANHCANH,Bánh canh cá lóc,MÓN NƯỚC
772,MONNUOC_BANHCANH_005,MONNUOC_BANHCANH,Bánh canh chả cá,MÓN NƯỚC
773,MONNUOC_BANHCANH_006,MONNUOC_BANHCANH,Bánh canh cua,MÓN NƯỚC
774,MONNUOC_BANHCANH_007,MONNUOC_BANHCANH,Bánh canh gà,MÓN NƯỚC
775,MONNUOC_BANHCANH_008,MONNUOC_BANHCANH,Bánh canh gà nấm,MÓN NƯỚC
776,MONNUOC_BANHCANH_009,MONNUOC_BANHCANH,Bánh canh giò heo,MÓN NƯỚC
777,MONNUOC_BANHCANH_010,MONNUOC_BANHCANH,Bánh canh sườn,MÓN NƯỚC
778,MONNUOC_BANHCANH_011,MONNUOC_BANHCANH,Bánh canh thập cẩm,MÓN NƯỚC
779,MONNUOC_BANHCANH_012,MONNUOC_BANHCANH,Bánh canh thịt,MÓN NƯỚC
780,MONNUOC_BANHCANH_013,MONNUOC_BANHCANH,Bánh canh thịt nấm,MÓN NƯỚC
781,MONNUOC_BANHCANH_014,MONNUOC_BANHCANH,Bánh canh xương,MÓN NƯỚC
782,MONNUOC_BANHCANH_015,MONNUOC_BANHCANH,Bánh canh xương mọc,MÓN NƯỚC
783,MONNUOC_BANHDA_001,MONNUOC_BANHDA,Bánh đa cua,MÓN NƯỚC
784,MONNUOC_BANHHOI_001,MONNUOC_BANHHOI,Bánh hỏi heo quay,MÓN NƯỚC
785,MONNUOC_BANHMI_001,MONNUOC_BANHMI,Bánh mì bò kho,MÓN NƯỚC
786,MONNUOC_BANHMI_002,MONNUOC_BANHMI,Sườn lagu + bánh mì,MÓN NƯỚC
787,MONNUOC_BANHMI_003,MONNUOC_BANHMI,Bánh mì bò lúc lắc,MÓN NƯỚC
788,MONNUOC_BANHMI_004,MONNUOC_BANHMI,Bánh mì sườn lagu,MÓN NƯỚC
789,MONNUOC_BANHUOT_001,MONNUOC_BANHUOT,"Bánh ướt + bánh tôm, chả lụa",MÓN NƯỚC
790,MONNUOC_BANHUOT_002,MONNUOC_BANHUOT,Bánh ướt nem chua chả lụa ,MÓN NƯỚC
791,MONNUOC_BANHUOT_003,MONNUOC_BANHUOT,Bánh ướt thịt nướng + chả giò,MÓN NƯỚC
792,MONNUOC_BUN_KHO_001,MONNUOC_BUN_KHO,Bún thịt luộc nem nướng,MÓN NƯỚC
793,MONNUOC_BUN_KHO_002,MONNUOC_BUN_KHO,Bún bì thịt + chả giò,MÓN NƯỚC
794,MONNUOC_BUN_KHO_003,MONNUOC_BUN_KHO,Bún chả giò,MÓN NƯỚC
795,MONNUOC_BUN_KHO_004,MONNUOC_BUN_KHO,Bún chả giò + bì thịt,MÓN NƯỚC
796,MONNUOC_BUN_KHO_005,MONNUOC_BUN_KHO,Bún chả giò + nem nướng,MÓN NƯỚC
797,MONNUOC_BUN_KHO_006,MONNUOC_BUN_KHO,Bún chả giò thịt luộc đậu hũ,MÓN NƯỚC
798,MONNUOC_BUN_KHO_007,MONNUOC_BUN_KHO,Bún đậu hũ thịt luộc nước tương,MÓN NƯỚC
799,MONNUOC_BUN_KHO_008,MONNUOC_BUN_KHO,Bún nem nướng,MÓN NƯỚC
800,MONNUOC_BUN_KHO_009,MONNUOC_BUN_KHO,Bún nem nướng+chả giò,MÓN NƯỚC
801,MONNUOC_BUN_KHO_010,MONNUOC_BUN_KHO,Bún thịt nướng,MÓN NƯỚC
802,MONNUOC_BUN_KHO_011,MONNUOC_BUN_KHO,Bún thịt xào + chả giò,MÓN NƯỚC
803,MONNUOC_BUN_NUOC_001,MONNUOC_BUN_NUOC,Bún bắp bò,MÓN NƯỚC
804,MONNUOC_BUN_NUOC_002,MONNUOC_BUN_NUOC,Bún bò ,MÓN NƯỚC
805,MONNUOC_BUN_NUOC_003,MONNUOC_BUN_NUOC,Bún bò gân,MÓN NƯỚC
806,MONNUOC_BUN_NUOC_004,MONNUOC_BUN_NUOC,Bún bò giò heo,MÓN NƯỚC
807,MONNUOC_BUN_NUOC_005,MONNUOC_BUN_NUOC,Bún bò huế,MÓN NƯỚC
808,MONNUOC_BUN_NUOC_006,MONNUOC_BUN_NUOC,Bún bò sa tế,MÓN NƯỚC
809,MONNUOC_BUN_NUOC_007,MONNUOC_BUN_NUOC,Bún cá lóc,MÓN NƯỚC
810,MONNUOC_BUN_NUOC_008,MONNUOC_BUN_NUOC,Bún chả cá,MÓN NƯỚC
811,MONNUOC_BUN_NUOC_009,MONNUOC_BUN_NUOC,Bún chả cá sứa,MÓN NƯỚC
812,MONNUOC_BUN_NUOC_010,MONNUOC_BUN_NUOC,Bún giò heo,MÓN NƯỚC
813,MONNUOC_BUN_NUOC_011,MONNUOC_BUN_NUOC,Bún giò mọc,MÓN NƯỚC
814,MONNUOC_BUN_NUOC_012,MONNUOC_BUN_NUOC,Bún hải sản,MÓN NƯỚC
815,MONNUOC_BUN_NUOC_013,MONNUOC_BUN_NUOC,Bún mắm,MÓN NƯỚC
816,MONNUOC_BUN_NUOC_014,MONNUOC_BUN_NUOC,Bún măng gà,MÓN NƯỚC
817,MONNUOC_BUN_NUOC_015,MONNUOC_BUN_NUOC,Bún măng vịt,MÓN NƯỚC
818,MONNUOC_BUN_NUOC_016,MONNUOC_BUN_NUOC,Bún mọc,MÓN NƯỚC
819,MONNUOC_BUN_NUOC_017,MONNUOC_BUN_NUOC,Bún nem cua bể,MÓN NƯỚC
820,MONNUOC_BUN_NUOC_018,MONNUOC_BUN_NUOC,Bún nem cua bể + bì thịt,MÓN NƯỚC
821,MONNUOC_BUN_NUOC_019,MONNUOC_BUN_NUOC,Bún riêu,MÓN NƯỚC
822,MONNUOC_BUN_NUOC_020,MONNUOC_BUN_NUOC,Bún riêu cua,MÓN NƯỚC
823,MONNUOC_BUN_NUOC_021,MONNUOC_BUN_NUOC,Bún riêu tôm,MÓN NƯỚC
824,MONNUOC_BUN_NUOC_022,MONNUOC_BUN_NUOC,Bún thái,MÓN NƯỚC
825,MONNUOC_BUN_NUOC_023,MONNUOC_BUN_NUOC,Bún thái (combo 2),MÓN NƯỚC
826,MONNUOC_BUN_NUOC_024,MONNUOC_BUN_NUOC,Bún thái hải sản,MÓN NƯỚC
827,MONNUOC_BUN_NUOC_025,MONNUOC_BUN_NUOC,Bún xương mọc,MÓN NƯỚC
828,MONNUOC_BUN_NUOC_026,MONNUOC_BUN_NUOC,Canh bún,MÓN NƯỚC
829,MONNUOC_BUN_NUOC_027,MONNUOC_BUN_NUOC,Tomyum bún gạo,MÓN NƯỚC
830,MONNUOC_BUN_NUOC_028,MONNUOC_BUN_NUOC,Bún bò nạm gân,MÓN NƯỚC
831,MONNUOC_BUN_NUOC_029,MONNUOC_BUN_NUOC,Bún chả cá + cá hồi,MÓN NƯỚC
832,MONNUOC_BUN_XAO_001,MONNUOC_BUN_XAO,Bún gạo xào tôm thịt,MÓN NƯỚC
833,MONNUOC_COM_CHIEN_001,MONNUOC_COM_CHIEN,Cơm chiên + cánh gà,MÓN NƯỚC
834,MONNUOC_COM_CHIEN_002,MONNUOC_COM_CHIEN,Cơm chiên + đùi gà,MÓN NƯỚC
835,MONNUOC_COM_CHIEN_003,MONNUOC_COM_CHIEN,Cơm chiên + đùi gà xối mỡ,MÓN NƯỚC
836,MONNUOC_COM_CHIEN_004,MONNUOC_COM_CHIEN,Cơm chiên + opla 2 trứng,MÓN NƯỚC
837,MONNUOC_COM_CHIEN_005,MONNUOC_COM_CHIEN,Cơm chiên cá mặn+opla 2 trứng,MÓN NƯỚC
838,MONNUOC_COM_CHIEN_006,MONNUOC_COM_CHIEN,Cơm chiên dương châu,MÓN NƯỚC
839,MONNUOC_COM_CHIEN_007,MONNUOC_COM_CHIEN,Cơm chiên dương châu+opla,MÓN NƯỚC
840,MONNUOC_COM_CHIEN_008,MONNUOC_COM_CHIEN,Cơm chiên hải sản+opla,MÓN NƯỚC
841,MONNUOC_HUTIEU_KHO_001,MONNUOC_HUTIEU_KHO,Hủ tiếu khô,MÓN NƯỚC
842,MONNUOC_HUTIEU_KHO_002,MONNUOC_HUTIEU_KHO,Hủ tiếu mì khô xá xíu,MÓN NƯỚC
843,MONNUOC_HUTIEU_NUOC_001,MONNUOC_HUTIEU_NUOC,Hủ tiếu bò kho,MÓN NƯỚC
844,MONNUOC_HUTIEU_NUOC_002,MONNUOC_HUTIEU_NUOC,Hủ tiếu bò kho + bánh mì,MÓN NƯỚC
845,MONNUOC_HUTIEU_NUOC_003,MONNUOC_HUTIEU_NUOC,Hủ tiếu gà,MÓN NƯỚC
846,MONNUOC_HUTIEU_NUOC_004,MONNUOC_HUTIEU_NUOC,Hủ tiếu giò,MÓN NƯỚC
847,MONNUOC_HUTIEU_NUOC_005,MONNUOC_HUTIEU_NUOC,Hủ tiếu hoành thánh,MÓN NƯỚC
848,MONNUOC_HUTIEU_NUOC_006,MONNUOC_HUTIEU_NUOC,Hủ tiếu mì hoành thánh,MÓN NƯỚC
849,MONNUOC_HUTIEU_NUOC_007,MONNUOC_HUTIEU_NUOC,Hủ tiếu mì nam vang,MÓN NƯỚC
850,MONNUOC_HUTIEU_NUOC_008,MONNUOC_HUTIEU_NUOC,Hủ tiếu mì thịt,MÓN NƯỚC
851,MONNUOC_HUTIEU_NUOC_009,MONNUOC_HUTIEU_NUOC,Hủ tiếu mì thịt hoành thánh,MÓN NƯỚC
852,MONNUOC_HUTIEU_NUOC_010,MONNUOC_HUTIEU_NUOC,Hủ tiếu mì xương,MÓN NƯỚC
853,MONNUOC_HUTIEU_NUOC_011,MONNUOC_HUTIEU_NUOC,Hủ tiếu mì xương hoành thánh,MÓN NƯỚC
854,MONNUOC_HUTIEU_NUOC_012,MONNUOC_HUTIEU_NUOC,Hủ tiếu mực,MÓN NƯỚC
855,MONNUOC_HUTIEU_NUOC_013,MONNUOC_HUTIEU_NUOC,Hủ tiếu nam vang,MÓN NƯỚC
856,MONNUOC_HUTIEU_NUOC_014,MONNUOC_HUTIEU_NUOC,Hủ tiếu tái + bò viên,MÓN NƯỚC
857,MONNUOC_HUTIEU_NUOC_015,MONNUOC_HUTIEU_NUOC,Hủ tiếu thịt,MÓN NƯỚC
858,MONNUOC_HUTIEU_NUOC_016,MONNUOC_HUTIEU_NUOC,Hủ tiếu thịt hoành thánh,MÓN NƯỚC
859,MONNUOC_HUTIEU_NUOC_017,MONNUOC_HUTIEU_NUOC,Hủ tiếu xá xíu hoành thánh,MÓN NƯỚC
860,MONNUOC_HUTIEU_NUOC_018,MONNUOC_HUTIEU_NUOC,Hủ tiếu xương,MÓN NƯỚC
861,MONNUOC_HUTIEU_NUOC_019,MONNUOC_HUTIEU_NUOC,Hủ tiếu xương hoành thánh,MÓN NƯỚC
862,MONNUOC_HUTIEU_NUOC_020,MONNUOC_HUTIEU_NUOC,Hủ tiếu mì thập cẩm + hoành thánh,MÓN NƯỚC
863,MONNUOC_HUTIEU_NUOC_021,MONNUOC_HUTIEU_NUOC,Hủ tiếu thập cẩm + hoành thánh,MÓN NƯỚC
864,MONNUOC_MI_NUOC_001,MONNUOC_MI_NUOC,Mì cay,MÓN NƯỚC
865,MONNUOC_MI_NUOC_002,MONNUOC_MI_NUOC,Mì cay hải sản,MÓN NƯỚC
866,MONNUOC_MI_NUOC_003,MONNUOC_MI_NUOC,Mì đùi gà tiềm,MÓN NƯỚC
867,MONNUOC_MI_NUOC_004,MONNUOC_MI_NUOC,Mì gà tiềm,MÓN NƯỚC
868,MONNUOC_MI_NUOC_005,MONNUOC_MI_NUOC,Mì hoành thánh,MÓN NƯỚC
869,MONNUOC_MI_NUOC_006,MONNUOC_MI_NUOC,Mì quảng,MÓN NƯỚC
870,MONNUOC_MI_NUOC_007,MONNUOC_MI_NUOC,Mì quảng gà,MÓN NƯỚC
871,MONNUOC_MI_NUOC_008,MONNUOC_MI_NUOC,Mì vịt tiềm,MÓN NƯỚC
872,MONNUOC_MI_NUOC_009,MONNUOC_MI_NUOC,Mì xá xíu hoành thánh,MÓN NƯỚC
873,MONNUOC_MI_NUOC_010,MONNUOC_MI_NUOC,Mỳ cay kim chi,MÓN NƯỚC
874,MONNUOC_MI_NUOC_011,MONNUOC_MI_NUOC,Mì thập cẩm hoành thánh,MÓN NƯỚC
875,MONNUOC_MI_NUOC_012,MONNUOC_MI_NUOC,Mì quảng thập cẩm,MÓN NƯỚC
876,MONNUOC_MI_XAO_001,MONNUOC_MI_XAO,Mì xào thập cẩm,MÓN NƯỚC
877,MONNUOC_MI_XAO_002,MONNUOC_MI_XAO,Mì xào bò,MÓN NƯỚC
878,MONNUOC_MI_XAO_003,MONNUOC_MI_XAO,Mì ý sốt bò bằm,MÓN NƯỚC
879,MONNUOC_MIEN_KHO_001,MONNUOC_MIEN_KHO,Miến trộn hải sản,MÓN NƯỚC
880,MONNUOC_MIEN_NUOC_001,MONNUOC_MIEN_NUOC,Miến gà,MÓN NƯỚC
881,MONNUOC_MIEN_NUOC_002,MONNUOC_MIEN_NUOC,Miến măng gà,MÓN NƯỚC
882,MONNUOC_NUI_NUOC_001,MONNUOC_NUI_NUOC,Nui bò kho,MÓN NƯỚC
883,MONNUOC_NUI_NUOC_002,MONNUOC_NUI_NUOC,Nui nấu bò,MÓN NƯỚC
884,MONNUOC_NUI_NUOC_003,MONNUOC_NUI_NUOC,Nui nấu gà,MÓN NƯỚC
885,MONNUOC_NUI_NUOC_004,MONNUOC_NUI_NUOC,Nui nấu giò heo,MÓN NƯỚC
886,MONNUOC_NUI_NUOC_005,MONNUOC_NUI_NUOC,Nui nấu sườn,MÓN NƯỚC
887,MONNUOC_NUI_NUOC_006,MONNUOC_NUI_NUOC,Nui nấu thịt,MÓN NƯỚC
888,MONNUOC_NUI_NUOC_007,MONNUOC_NUI_NUOC,Nui tái bò viên,MÓN NƯỚC
889,MONNUOC_NUI_NUOC_008,MONNUOC_NUI_NUOC,Nui thập cẩm,MÓN NƯỚC
890,MONNUOC_NUI_NUOC_009,MONNUOC_NUI_NUOC,Nui xương,MÓN NƯỚC
891,MONNUOC_NUI_NUOC_010,MONNUOC_NUI_NUOC,Nui xương mọc,MÓN NƯỚC
892,MONNUOC_NUI_NUOC_011,MONNUOC_NUI_NUOC,Nui hoành thánh,MÓN NƯỚC
893,MONNUOC_NUI_SOT_001,MONNUOC_NUI_SOT,Nui sốt bò bằm,MÓN NƯỚC
894,MONNUOC_NUI_XAO_001,MONNUOC_NUI_XAO,Nui xào bò,MÓN NƯỚC
895,MONNUOC_PHO_NUOC_001,MONNUOC_PHO_NUOC,Phở bò hà nội,MÓN NƯỚC
896,MONNUOC_PHO_NUOC_002,MONNUOC_PHO_NUOC,Phở bò tái gân,MÓN NƯỚC
897,MONNUOC_PHO_NUOC_003,MONNUOC_PHO_NUOC,Phở bò tái viên,MÓN NƯỚC
898,MONNUOC_PHO_NUOC_004,MONNUOC_PHO_NUOC,Phở đùi gà,MÓN NƯỚC
899,MONNUOC_PHO_NUOC_005,MONNUOC_PHO_NUOC,Phở gà hà nội,MÓN NƯỚC
900,MONNUOC_PHO_NUOC_006,MONNUOC_PHO_NUOC,Phở bò,MÓN NƯỚC
901,MONNUOC_XOI_001,MONNUOC_XOI,Xôi mặn+kim chi,MÓN NƯỚC
902,TRANGMIENG_BANH_001,TRANGMIENG_BANH,Bánh bông lan,MÓN TRÁNG MIỆNG
903,TRANGMIENG_BANH_002,TRANGMIENG_BANH,Bánh da lợn,MÓN TRÁNG MIỆNG
904,TRANGMIENG_BANH_003,TRANGMIENG_BANH,Bánh flan,MÓN TRÁNG MIỆNG
905,TRANGMIENG_BANH_004,TRANGMIENG_BANH,Bánh su kem,MÓN TRÁNG MIỆNG
906,TRANGMIENG_CHE_001,TRANGMIENG_CHE,Chè bà ba,MÓN TRÁNG MIỆNG
907,TRANGMIENG_CHE_002,TRANGMIENG_CHE,Chè bắp,MÓN TRÁNG MIỆNG
908,TRANGMIENG_CHE_003,TRANGMIENG_CHE,Chè bắp khoai dẻo,MÓN TRÁNG MIỆNG
909,TRANGMIENG_CHE_004,TRANGMIENG_CHE,Chè chuối,MÓN TRÁNG MIỆNG
910,TRANGMIENG_CHE_005,TRANGMIENG_CHE,Chè đậu đỏ,MÓN TRÁNG MIỆNG
911,TRANGMIENG_CHE_006,TRANGMIENG_CHE,Chè đậu xanh,MÓN TRÁNG MIỆNG
912,TRANGMIENG_CHE_007,TRANGMIENG_CHE,Chè đậu xanh khoai môn,MÓN TRÁNG MIỆNG
913,TRANGMIENG_CHE_008,TRANGMIENG_CHE,Chè đậu xanh nha đam,MÓN TRÁNG MIỆNG
914,TRANGMIENG_CHE_009,TRANGMIENG_CHE,Chè khoai môn đậu xanh,MÓN TRÁNG MIỆNG
915,TRANGMIENG_CHE_010,TRANGMIENG_CHE,Chè sương sáo hạt é,MÓN TRÁNG MIỆNG
916,TRANGMIENG_CHE_011,TRANGMIENG_CHE,Chè thưng,MÓN TRÁNG MIỆNG
917,TRANGMIENG_CHE_012,TRANGMIENG_CHE,Chè trôi nước,MÓN TRÁNG MIỆNG
918,TRANGMIENG_CHE_013,TRANGMIENG_CHE,Sâm bổ lượng,MÓN TRÁNG MIỆNG
919,TRANGMIENG_CHE_014,TRANGMIENG_CHE,Sương sáo hạt é,MÓN TRÁNG MIỆNG
920,TRANGMIENG_NUOCNGOT_001,TRANGMIENG_NUOCNGOT,Pepsi chai,MÓN TRÁNG MIỆNG
921,TRANGMIENG_NUOCNGOT_002,TRANGMIENG_NUOCNGOT,Ép tắc,MÓN TRÁNG MIỆNG
922,TRANGMIENG_RAUCAU_001,TRANGMIENG_RAUCAU,Rau câu,MÓN TRÁNG MIỆNG
923,TRANGMIENG_RAUCAU_002,TRANGMIENG_RAUCAU,Thanh long,MÓN TRÁNG MIỆNG
924,TRANGMIENG_RAUCAU_003,TRANGMIENG_RAUCAU,Thơm,MÓN TRÁNG MIỆNG
925,TRANGMIENG_RAUCAU_004,TRANGMIENG_RAUCAU,Trà tắc,MÓN TRÁNG MIỆNG
926,TRANGMIENG_RAUCAU_005,TRANGMIENG_RAUCAU,Vải,MÓN TRÁNG MIỆNG
927,TRANGMIENG_RAUCAU_006,TRANGMIENG_RAUCAU,Xoài,MÓN TRÁNG MIỆNG
928,TRANGMIENG_SUA_001,TRANGMIENG_SUA,Sữa bắp,MÓN TRÁNG MIỆNG
929,TRANGMIENG_SUA_002,TRANGMIENG_SUA,Yakult,MÓN TRÁNG MIỆNG
930,TRANGMIENG_SUACHUA_001,TRANGMIENG_SUACHUA,Sữa chua,MÓN TRÁNG MIỆNG
931,TRANGMIENG_SUACHUA_002,TRANGMIENG_SUACHUA,Sữa chua hộp,MÓN TRÁNG MIỆNG
932,TRANGMIENG_SUACHUA_003,TRANGMIENG_SUACHUA,Sữa chua vinamilk,MÓN TRÁNG MIỆNG
933,TRANGMIENG_TAUHU_001,TRANGMIENG_TAUHU,Tàu hũ cô vang,MÓN TRÁNG MIỆNG
934,TRANGMIENG_TRAICAY_001,TRANGMIENG_TRAICAY,Chôm chôm,MÓN TRÁNG MIỆNG
935,TRANGMIENG_TRAICAY_002,TRANGMIENG_TRAICAY,Chuối cau,MÓN TRÁNG MIỆNG
936,TRANGMIENG_TRAICAY_003,TRANGMIENG_TRAICAY,Chuối già,MÓN TRÁNG MIỆNG
937,TRANGMIENG_TRAICAY_004,TRANGMIENG_TRAICAY,Chuối sứ,MÓN TRÁNG MIỆNG
938,TRANGMIENG_TRAICAY_005,TRANGMIENG_TRAICAY,Dưa hấu,MÓN TRÁNG MIỆNG
939,TRANGMIENG_TRAICAY_006,TRANGMIENG_TRAICAY,Mận,MÓN TRÁNG MIỆNG
940,TRANGMIENG_TRAICAY_007,TRANGMIENG_TRAICAY,Mận bắc,MÓN TRÁNG MIỆNG
941,TRANGMIENG_TRAICAY_008,TRANGMIENG_TRAICAY,Nhãn,MÓN TRÁNG MIỆNG
942,TRANGMIENG_TRAICAY_009,TRANGMIENG_TRAICAY,Ổi,MÓN TRÁNG MIỆNG
943,TRANGMIENG_TRAICAY_010,TRANGMIENG_TRAICAY,Quýt,MÓN TRÁNG MIỆNG
944,TRANGMIENG_TRAICAY_011,TRANGMIENG_TRAICAY,Quýt thái,MÓN TRÁNG MIỆNG
945,TRANGMIENG_TRAICAY_012,TRANGMIENG_TRAICAY,Táo xanh,MÓN TRÁNG MIỆNG
946,XAOLUOC_BAU_LUOC_001,XAOLUOC_BAU_LUOC,Bầu luộc,MÓN RAU XÀO/LUỘC
947,XAOLUOC_BAU_LUOC_002,XAOLUOC_BAU_LUOC,Bầu luộc + chao,MÓN RAU XÀO/LUỘC
948,XAOLUOC_BONGCAI_XAO_001,XAOLUOC_BONGCAI_XAO,Bông cải xào cà rốt,MÓN RAU XÀO/LUỘC
949,XAOLUOC_CAI_GOI_001,XAOLUOC_CAI_GOI,Gỏi bắp cải,MÓN RAU XÀO/LUỘC
950,XAOLUOC_CAI_LUOC_001,XAOLUOC_CAI_LUOC,Bắp cải luộc,MÓN RAU XÀO/LUỘC
951,XAOLUOC_CAI_LUOC_002,XAOLUOC_CAI_LUOC,Cải luộc,MÓN RAU XÀO/LUỘC
952,XAOLUOC_CAI_LUOC_003,XAOLUOC_CAI_LUOC,Cải ngọt luộc,MÓN RAU XÀO/LUỘC
953,XAOLUOC_CAI_LUOC_004,XAOLUOC_CAI_LUOC,Cải thảo luộc,MÓN RAU XÀO/LUỘC
954,XAOLUOC_CAI_LUOC_005,XAOLUOC_CAI_LUOC,Cải thìa luộc,MÓN RAU XÀO/LUỘC
955,XAOLUOC_CAI_SOT_001,XAOLUOC_CAI_SOT,Cải thìa sốt nấm,MÓN RAU XÀO/LUỘC
956,XAOLUOC_CAI_XAO_001,XAOLUOC_CAI_XAO,Bắp cải xào,MÓN RAU XÀO/LUỘC
957,XAOLUOC_CAI_XAO_002,XAOLUOC_CAI_XAO,Bắp cải xào cà rốt,MÓN RAU XÀO/LUỘC
958,XAOLUOC_CAI_XAO_003,XAOLUOC_CAI_XAO,Cải ngọt xào giá,MÓN RAU XÀO/LUỘC
959,XAOLUOC_CAI_XAO_004,XAOLUOC_CAI_XAO,Cải thảo xào,MÓN RAU XÀO/LUỘC
960,XAOLUOC_CAI_XAO_005,XAOLUOC_CAI_XAO,Cải thìa xào,MÓN RAU XÀO/LUỘC
961,XAOLUOC_CAI_XAO_006,XAOLUOC_CAI_XAO,Cải xào,MÓN RAU XÀO/LUỘC
962,XAOLUOC_CAI_XAO_007,XAOLUOC_CAI_XAO,Cải xào cà rốt,MÓN RAU XÀO/LUỘC
963,XAOLUOC_CAPHAO_KHAC_001,XAOLUOC_CAPHAO_KHAC,Cà pháo muối xổi,MÓN RAU XÀO/LUỘC
964,XAOLUOC_CATIM_LUOC_001,XAOLUOC_CATIM_LUOC,Cà tím luộc,MÓN RAU XÀO/LUỘC
965,XAOLUOC_CATIM_SOT_001,XAOLUOC_CATIM_SOT,Cà tím sốt,MÓN RAU XÀO/LUỘC
966,XAOLUOC_CATIM_XAO_001,XAOLUOC_CATIM_XAO,Cà tím xào,MÓN RAU XÀO/LUỘC
967,XAOLUOC_CATIM_XAO_002,XAOLUOC_CATIM_XAO,Cà tím xào lá lốt,MÓN RAU XÀO/LUỘC
968,XAOLUOC_DAUBAP_LUOC_001,XAOLUOC_DAUBAP_LUOC,Đậu bắp luộc,MÓN RAU XÀO/LUỘC
969,XAOLUOC_DAUBAP_LUOC_002,XAOLUOC_DAUBAP_LUOC,Đậu bắp luộc + chao,MÓN RAU XÀO/LUỘC
970,XAOLUOC_DAUDUA_XAO_001,XAOLUOC_DAUDUA_XAO,Đậu đũa xào,MÓN RAU XÀO/LUỘC
971,XAOLUOC_DAURONG_XAO_001,XAOLUOC_DAURONG_XAO,Đậu rồng xào,MÓN RAU XÀO/LUỘC
972,XAOLUOC_DAUVE_LUOC_001,XAOLUOC_DAUVE_LUOC,Đậu ve luộc,MÓN RAU XÀO/LUỘC
973,XAOLUOC_DAUVE_XAO_001,XAOLUOC_DAUVE_XAO,Đậu ve xào thịt,MÓN RAU XÀO/LUỘC
974,XAOLUOC_DUACHUA_KHAC_001,XAOLUOC_DUACHUA_KHAC,Dưa chua muối xổi,MÓN RAU XÀO/LUỘC
975,XAOLUOC_DUACHUA_XAO_002,XAOLUOC_DUACHUA_XAO,Dưa chua xào,MÓN RAU XÀO/LUỘC
976,XAOLUOC_DUALEO_KHAC_001,XAOLUOC_DUALEO_KHAC,Dưa leo,MÓN RAU XÀO/LUỘC
977,XAOLUOC_DUALEO_KHAC_002,XAOLUOC_DUALEO_KHAC,Dưa leo + rau thơm,MÓN RAU XÀO/LUỘC
978,XAOLUOC_DUDU_GOI_001,XAOLUOC_DUDU_GOI,Gỏi đu đủ,MÓN RAU XÀO/LUỘC
979,XAOLUOC_GIAHE_KHAC_001,XAOLUOC_GIAHE_KHAC,Giá hẹ chua ngọt,MÓN RAU XÀO/LUỘC
980,XAOLUOC_GIAHE_XAO_001,XAOLUOC_GIAHE_XAO,Giá hẹ xào,MÓN RAU XÀO/LUỘC
981,XAOLUOC_GIAHE_XAO_002,XAOLUOC_GIAHE_XAO,Giá hẹ xào rau cải,MÓN RAU XÀO/LUỘC
982,XAOLUOC_KHOQUA_XAO_001,XAOLUOC_KHOQUA_XAO,Khổ qua xào trứng,MÓN RAU XÀO/LUỘC
983,XAOLUOC_MUOP_XAO_001,XAOLUOC_MUOP_XAO,Mướp xào ,MÓN RAU XÀO/LUỘC
984,XAOLUOC_MUOP_XAO_002,XAOLUOC_MUOP_XAO,Mướp xào giá,MÓN RAU XÀO/LUỘC
985,XAOLUOC_MUOP_XAO_003,XAOLUOC_MUOP_XAO,Mướp xào tỏi,MÓN RAU XÀO/LUỘC
986,XAOLUOC_RAU_LUOC_001,XAOLUOC_RAU_LUOC,Rau dền luộc,MÓN RAU XÀO/LUỘC
987,XAOLUOC_RAU_LUOC_002,XAOLUOC_RAU_LUOC,Rau luộc + kho quẹt,MÓN RAU XÀO/LUỘC
988,XAOLUOC_RAU_LUOC_003,XAOLUOC_RAU_LUOC,Rau luộc thập cẩm,MÓN RAU XÀO/LUỘC
989,XAOLUOC_RAU_LUOC_004,XAOLUOC_RAU_LUOC,Rau muống luộc,MÓN RAU XÀO/LUỘC
990,XAOLUOC_RAU_XAO_001,XAOLUOC_RAU_XAO,Rau cải xào giá hẹ,MÓN RAU XÀO/LUỘC
991,XAOLUOC_RAU_XAO_002,XAOLUOC_RAU_XAO,Rau muống xào tỏi,MÓN RAU XÀO/LUỘC
992,XAOLUOC_SALAD_GOI_001,XAOLUOC_SALAD_GOI,Salad dầu giấm,MÓN RAU XÀO/LUỘC
