ID,Tên món ăn menu,Tên món ăn đề xuất,Nguyên vật liệu chính 1,Nguyên vật liệu phụ 1,Nguyên vật liệu phụ 2,Nguyên vật liệu phụ 3,Nguyên vật liệu phụ 4,Nguyên vật liệu phụ 5,Nguyên vật liệu phụ 6,Nguyên vật liệu phụ 7,Nguyên vật liệu phụ 8,Ghi chú,Is Test,Parent items,Ghi chú (1),Is Test (1),Parent items (1),Parent items (1) (1),Parent items (1) (1) (1),Parent items (1) (1) (1) (1),Trường 7,Trường 8,Trường 9,Trường 10,Trường 11,Trường 12,Trường 13,Trường 14,Trường 15,Trường 16,Trường 17,Trường 18
12241,Thịt chiên lá lốt,Thịt chiên lá lốt,Thịt xay,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12242,Thịt xào bông cải,Thịt xào bông cải,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12243,Thịt xào bông cải,Thịt xào bông cải trắng,Thịt heo vai tươi,Bông cải trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12244,Tomyum bún gạo,Tomyum bún gạo,Tôm thẻ size 60 con,Bún gạo,Bò tái,,,,,,,,,,,,,,,,,,,,,,,,,,,
12245,Nấm xào mướp,Nấm xào mướp,Nấm đùi gà,Mướp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12246,Mực trứng sốt mắm,Mực trứng sốt mắm,Mực trứng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12247,Phở bò tái viên,Phở bò tái viên,Phở,Bò tái,Bò viên,,,,,,,,,,,,,,,,,,,,,,,,,,,
12248,Su su xào,Su su xào,Su su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12249,Su hào xào cà rốt,Su hào xào cà rốt,Su hào,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12250,Nấm xào măng,Nấm xào măng,Nấm đùi gà,Măng tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12251,Tôm rang muối,Tôm rang muối size 100,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12252,Tôm rang muối,Tôm rang muối size 80,Tôm thẻ size 80 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12253,Tôm rang muối,Tôm rang muối size 50,Tôm thẻ size 50 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12254,Tôm rang muối,Tôm rang muối măng,Măng tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12255,Tôm rang muối,Tôm rang muối size 60,Tôm thẻ size 60 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12256,Nấm bào ngư chiên giòn,Nấm bào ngư chiên giòn,Nấm bào ngư xám,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12257,Rau củ kho thập cẩm,Rau củ kho thập cẩm nấm,Nấm đùi gà,Bầu,Bắp cải trắng,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,
12258,Rau củ kho thập cẩm,Rau củ kho thập cẩm đậu hũ nấm,Đậu hũ chiên,Nấm đùi gà,Su hào,Bắp cải trắng,,,,,,,,,,,,,,,,,,,,,,,,,,
12259,Rau củ kho thập cẩm,Rau củ kho thập cẩm đậu hũ,Đậu hũ chiên,Bầu,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,
12260,Thịt chiên sốt mắm,Thịt chiên sốt mắm,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12261,Trứng luộc,Trứng luộc,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12262,Rau câu,Rau câu,Rau câu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12263,Salad bò,Salad bò,Bò tái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
